DATE DE CLASSEMENT,TYPE D'HÉBERGEMENT,STAR,NOM COMMERCIAL,ADRESSE,CODE POSTAL,COMMUNE,WEBSITE,CAPACITÉ D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,Email_Primary,Email_Additional,Country,Phone_Primary,Phone_Additional,Website_Status,Scraping_Result
22/01/2019,HÔTEL DE TOURISME,3,HÔTEL LA MAISON BROUZES FAVIER,17 allée de l'Amicale,12210.0,LAGUIOLE,https://www.hotel-aubrac.fr/,72.0,31.0,hotel-aubrac@wanadoo.fr,contact@hotel-aubrac.fr,FR,'+33565443213,,OK,Success
01/02/2019,HÔTEL DE TOURISME,3,HÔTEL RESTAURANT SPA LE MOULIN DE MOISSAC,1 promenade Sancert,82200.0,MOISSAC,https://www.lemoulindemoissac.com/,82.0,35.0,hotel@lemoulindemoissac.com,,UNK,'0563328888,,OK,Success
07/02/2019,HÔTEL DE TOURISME,3,HÔTEL IBIS STYLES MARSEILLE VIEUX PORT,7-9 Cours Saint louis,13001.0,MARSEILLE,https://all.accor.com/hotel/A0X9/index.en.shtml,92.0,52.0,ha0x9@accor.com,,FR,'+33491541952,,OK,Success
28/02/2019,HÔTEL DE TOURISME,4,RELAIS THALASSO HÔTEL SERGE BLANCO,125 boulevard de la mer,64700.0,HENDAYE,hendaye.relaisthalasso.com,202.0,90.0,,,UNK,,,OK,No Contacts Found
28/03/2019,HÔTEL DE TOURISME,4,HÔTEL LE SAINT-JAMES,3 place Camille Hostein,33270.0,BOULIAC,www.saintjames-bouliac.com,36.0,18.0,reception@saintjames-bouliac.com,,FR,'+33557970600,,OK,Success
13/05/2019,CAMPING,3,CAMPING DU PORT D'AURAY,Lieu-dit Le Branhoc,56400.0,AURAY,http://camping-auray.fr/,396.0,,,,FR,,,Unavailable,Connection Failed
03/06/2019,HÔTEL DE TOURISME,3,HÔTEL LE PATIO DE SOPHIE,208 RUE DROITE,4200.0,SISTERON,www.lepatiodesophie-sisteron.com,14.0,7.0,,,UNK,,,OK,No Contacts Found
04/06/2019,CAMPING,4,CAMPING L'AIR DU TEMPS,La Barrière,15270.0,BEAULIEU,http://www.camping-ferme-cantal.com,80.0,,,,UNK,'0608081922,,OK,Success
27/08/2019,HÔTEL DE TOURISME,3,HÔTEL DE MONACO,1 Avenue Pierre Weck,6320.0,CAP-D'AIL,https://hotel-de-monaco.mydirectstay.com/fr/index.html,26.0,14.0,,,UNK,,,Unavailable,Does Not Exist
05/09/2019,RÉSIDENCE DE TOURISME,4,RÉSIDENCE CANTU DI MARE,Route de Porto Pollo,20113.0,OLMETO,https://www.cantudimare.com/,64.0,,info@cantudimare.com,,UNK,'0613075310,,OK,Success
21/10/2019,HÔTEL DE TOURISME,3,HÔTEL ANTIN TRINITÉ PARIS,74 rue de Provence,75009.0,PARIS 9E ARRONDISSEMENT,https://www.paris-hotel-antin.com/,75.0,48.0,trinite@antinparis.com,,UNK,'0148742907,,OK,Success
25/10/2019,HÔTEL DE TOURISME,3,HÔTEL L’ÉTAPE,1 rue Pierre Bellot,13320.0,BOUC-BEL-AIR,http://www.hotelaix-etape.com/hotel-letape-hotel-bouc-bel-air/,81.0,35.0,contact@hotelaix-etape.com,,UNK,,,OK,Success
02/12/2019,HÔTEL DE TOURISME,3,HÔTEL LE PLAT D'ÉTAIN,15 place des halles,28160.0,BROU,https://www.hotelplatdetain.com/,34.0,20.0,reservation@hotelplatdetain.com,,FR,'+33142780404,,OK,Success
23/01/2020,HÔTEL DE TOURISME,3,HOSTELLERIE DU LYS,63 septième avenue,60260.0,LAMORLAYE,http://www.hostelleriedulys.com/,32.0,17.0,accueil@hostelleriedulys.com,,FR,'+33344212619,,OK,Success
